Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,DTR Rating,# of Reviews,Mobility,Recovery,Resilience,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11
Tangled Web Hood,1664085089,"""6917529097117115204""",,Legendary,Helmet,,Warlock,732,Void Damage Resistance,1,Warlock(750),false,false,2,4,,5,1,2,1,0,,Mobile Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 1 Armor*,Sniper Rifle Targeting*,Light Reactor,Linear Fusion Rifle Reserves*,Shotgun Reserves,,,,
Wing Theorem,3724026171,"""6917529097114772744""",,Legendary,Helmet,crucible,Warlock,750,Arc Damage Resistance,1,Warlock(750),false,false,2,4,,N/A,N/A,0,1,2,,Heavy Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Crucible Legacy*,Hands-On*,Precision Weapon Targeting,Grenade Launcher Reserves*,Linear Fusion Rifle Reserves,,,
Skull of Dire Ahamkara,2523259394,"""6917529094792729509""",,Exotic,Helmet,,Warlock,750,,,Warlock(750),false,false,1,1,,1,23,1,1,1,,Bold Statement*,Actual Grandeur*,Mobility Enhancement Mod*,Restorative Mod,Scout Rifle Targeting*,Special Ammo Finder*,,,,,,
Vigil of Heroes,3213912958,"""6917529097117112124""",,Legendary,Helmet,strikes,Warlock,750,Solar Damage Resistance,1,Warlock(750),false,false,2,4,,N/A,N/A,1,1,1,,Mobile Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Vanguard Veteran*,Submachine Gun Targeting*,Heavy Lifting,Shotgun Reserves*,Machine Gun Reserves,,,
Prodigal Hood,2012084760,"""6917529097218114605""",,Legendary,Helmet,,Warlock,750,Solar Damage Resistance,2,Warlock(750),false,false,2,4,,5,1,1,1,1,,Heavy Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 2 Armor*,Linear Fusion Rifle Targeting*,Pulse Rifle Targeting,Sword Reserves*,Special Ammo Finder,,,,
Hood of the Great Hunt,3251351304,"""6917529097257272231""",,Legendary,Helmet,lastwish,Warlock,750,Void Damage Resistance,2,Warlock(750),false,false,2,4,,5,2,1,1,1,,Mobile Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Light Reactor*,Ashes to Assets,Machine Gun Targeting,Shotgun Reserves*,Special Ammo Finder,,,
Ancient Apocalypse Hood,1236746902,"""6917529097397469249""",,Legendary,Helmet,gambit,Warlock,731,Void Damage Resistance,4,Warlock(750),false,false,2,4,,N/A,N/A,1,1,1,,Mobile Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 4 Armor*,Gambit Leather*,Light Reactor*,Machine Gun Targeting,Sword Reserves*,Machine Gun Reserves,,,
Prodigal Hood,2012084760,"""6917529097316194444""",,Legendary,Helmet,,Warlock,732,Arc Damage Resistance,1,Warlock(750),false,false,2,4,,5,2,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 1 Armor*,Linear Fusion Rifle Targeting*,Heavy Lifting,Fusion Rifle Reserves*,Rocket Launcher Reserves,,,,
Insigne Shade Gloves,2513313400,"""6917529096520406230""",,Legendary,Gauntlets,calus,Warlock,730,,,Warlock(750),false,false,1,3,,N/A,N/A,0,1,2,,Heavy Warlock Armor*,Mobility Enhancement Mod,Plasteel Reinforcement Mod*,Striking Hand,Shielding Hand,Giving Hand*,Praetorian Ornament*,Masterwork Upgrade*,,,,
Reverie Dawn Gloves,2761343386,"""6917529097397466036""",,Legendary,Gauntlets,dreaming,Warlock,733,Solar Damage Resistance,2,Warlock(750),false,false,2,4,,5,3,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Riven's Curse*,Tier 2 Armor*,Blueshift Dreams*,Rocket Launcher Loader*,Power Weapon Loader,Enhanced Shotgun Loader,Fusion Rifle Scavenger*,Linear Fusion Rifle Scavenger,
